"","year","month","day","Temp","Sal","DO_mgl","pH","Turb"
"40",2007,2,9,2.55416666666667,18.346875,12.865625,8.26145833333333,3.15625
"41",2007,2,10,2.05,18.14375,13.0072916666667,8.24583333333333,3.70833333333333
"42",2007,2,11,2.86041666666667,17.5479166666667,12.6270833333333,8.19270833333333,5.07291666666667
"43",2007,2,12,3.61770833333333,17.7833333333333,13.0614583333333,8.25104166666667,3.20833333333333
"44",2007,2,13,4.05208333333333,17.6666666666667,12.3604166666667,8.22083333333333,6.1875
"45",2007,2,14,3.88541666666667,17.2583333333333,11.84375,8.17604166666667,8.23958333333333
"46",2007,2,15,2.41145833333333,17.6552083333333,12.2239583333333,8.17916666666667,5.20833333333333
"47",2007,2,16,1.87682926829268,17.5616279069767,12.5290697674419,8.23977272727273,3.45454545454545
"48",2007,2,17,2.66666666666667,17.978125,12.3234375,8.25970149253731,3.07462686567164
"49",2007,2,18,3.06705882352941,18.1214285714286,11.9738095238095,8.27764705882353,2.97647058823529
"50",2007,2,19,2.11666666666667,18.5209302325581,11.6872093023256,8.21034482758621,4.02298850574713
"51",2007,2,20,3.88441558441558,18.6631578947368,11.2881578947368,8.23246753246753,4.01298701298701
"52",2007,2,21,5.471875,18.3854166666667,10.9041666666667,8.26041666666667,3.5625
"53",2007,2,22,5.49791666666667,18.4229166666667,10.7753623188406,8.28541666666667,3.11458333333333
"54",2007,2,23,5.06145833333333,18.76875,NA,8.20416666666667,6.08333333333333
"55",2007,2,24,4.078125,18.8166666666667,NA,8.23333333333333,6.07291666666667
"56",2007,2,25,4.54166666666667,18.6760416666667,NA,8.27291666666667,10.5729166666667
"57",2007,2,26,4.78125,18.8885416666667,NA,8.26041666666667,5.73958333333333
"58",2007,2,27,5.990625,18.7875,NA,8.35625,4.71875
"59",2007,2,28,6.4875,18.8578947368421,13.312962962963,8.36979166666667,4.42708333333333
"60",2007,3,1,5.778125,18.3697916666667,13.1635416666667,8.34895833333333,4.35416666666667
"61",2007,3,2,7.48958333333333,18.3260416666667,12.2114583333333,8.31666666666667,11.6041666666667
"62",2007,3,3,7.590625,18.534375,12.2489583333333,8.35104166666667,3.22916666666667
"63",2007,3,4,7.128125,18.9229166666667,11.7677083333333,8.31979166666667,3.32291666666667
"64",2007,3,5,6.72916666666667,19.271875,11.6520833333333,8.32291666666667,3.91666666666667
"65",2007,3,6,5.93541666666667,19.353125,11.8208333333333,8.32395833333333,8.61458333333333
"66",2007,3,7,5.35104166666667,19.5552083333333,11.7739583333333,8.34166666666667,8.28125
"67",2007,3,8,5.31145833333333,19.1833333333333,11.771875,8.22708333333333,6.375
"68",2007,3,9,5.78229166666667,19.15625,11.9385416666667,8.27708333333333,8.21875
"69",2007,3,10,7.01458333333333,19.1010416666667,11.9333333333333,8.309375,5.05263157894737
"70",2007,3,11,8.9,18.7072916666667,11.8635416666667,8.33854166666667,3.46875
"71",2007,3,12,8.54791666666667,18.634375,12.2927083333333,8.40833333333333,3.79166666666667
"72",2007,3,13,8.721875,18.5604166666667,12.5614583333333,8.39166666666667,2.3125
"73",2007,3,14,10.23125,18.5181818181818,11.6051948051948,8.27916666666667,2.15625
"74",2007,3,15,11.3,18.4572916666667,11.178125,8.23541666666667,3.76041666666667
"75",2007,3,16,9.86666666666667,17.95,10.525,8.20416666666667,9.27083333333333
"76",2007,3,17,8.1875,17.8208333333333,10.8364583333333,8.17291666666667,3.94791666666667
"77",2007,3,18,7.446875,17.959375,11.2864583333333,8.18125,3.54166666666667
"78",2007,3,19,7.75505617977528,18.0123595505618,11.4089887640449,8.2,3.82022471910112
"79",2007,3,20,10.2364705882353,18.3035294117647,11.2717647058824,8.18235294117647,6.47058823529412
"80",2007,3,21,8.26145833333333,18.78125,11.0114583333333,8.10729166666667,10.5729166666667
"81",2007,3,22,9.58333333333333,18.45625,10.8104166666667,8.10208333333333,3.76041666666667
"82",2007,3,23,12.0572916666667,18.4604166666667,10.8864583333333,8.159375,2.60416666666667
"83",2007,3,24,12.8447916666667,18.1989583333333,10.6020833333333,8.17916666666667,2.48958333333333
"84",2007,3,25,11.734375,17.778125,10.4479166666667,8.22708333333333,10.375
"85",2007,3,26,10.9989583333333,18.271875,10.2854166666667,8.25104166666667,8.52083333333333
"86",2007,3,27,12.784375,18.1354166666667,9.603125,8.2125,5.17708333333333
"87",2007,3,28,14.6927083333333,16.5260416666667,10.8802083333333,8.40833333333333,3.48958333333333
"88",2007,3,29,13.7802083333333,16.640625,10.5197916666667,8.42708333333333,10.5263157894737
"89",2007,3,30,13.4104166666667,16.678125,10.5010416666667,8.43541666666667,6.73684210526316
"90",2007,3,31,13.8,16.3427083333333,10.5572916666667,8.44791666666667,9.125
"91",2007,4,1,13.55625,16.04375,10.5947916666667,8.46145833333333,5.875
